STATUS,MW,LogP,nHAcc,nHDon,canonical_smiles,standard_value,SMILES_desalt,pIC50,molecule_chembl_id
Active,528.5120000000002,5.793700000000003,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3c(F)c(F)c(F)cc3[nH]2)o1,22.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3c(F)c(F)c(F)cc3[nH]2)o1,7.657577319177793,CHEMBL3393478
Active,510.5220000000001,5.654600000000003,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccc(F)c(F)c3[nH]2)o1,10.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccc(F)c(F)c3[nH]2)o1,8.0,CHEMBL3393477
Active,510.5220000000001,5.654600000000004,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cc(F)c(F)cc3[nH]2)o1,22.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cc(F)c(F)cc3[nH]2)o1,7.657577319177793,CHEMBL3393476
Active,510.5220000000001,5.654600000000004,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3c(F)cc(F)cc3[nH]2)o1,8.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3c(F)cc(F)cc3[nH]2)o1,8.096910013008056,CHEMBL3393475
Active,492.5320000000001,5.515500000000004,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cccc(F)c3[nH]2)o1,4.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cccc(F)c3[nH]2)o1,8.397940008672037,CHEMBL3393474
Active,492.5320000000001,5.515500000000004,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cc(F)ccc3[nH]2)o1,15.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cc(F)ccc3[nH]2)o1,7.823908740944319,CHEMBL3393473
Active,530.0060000000001,3.3928000000000016,8,4,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CNC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1.Cl.O,3.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CNC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,8.522878745280337,CHEMBL3393472
Active,446.48800000000017,4.8979000000000035,6,4,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]c(C(=O)O)c1N2,75.0,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]c(C(=O)O)c1N2,7.1249387366083,CHEMBL3393471
Active,460.5150000000001,4.9863000000000035,7,3,COC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,2.0,COC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,8.698970004336019,CHEMBL3393470
Active,474.5420000000001,5.376400000000004,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,9.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,8.045757490560675,CHEMBL3393469
Active,402.4790000000001,5.1997000000000035,5,3,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]cc1N2,377.0,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]cc1N2,6.423658649794207,CHEMBL3393468
Active,477.5670000000001,5.719700000000004,8,2,COC(=O)c1csc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,11.0,COC(=O)c1csc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,7.958607314841775,CHEMBL3393467
Inactive,446.4920000000001,3.9494000000000016,9,4,Nc1nc(O)c2c(n1)NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,10000.0,Nc1nc(O)c2c(n1)NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,5.0,CHEMBL3393466
Intermediate,446.4920000000001,3.6936000000000018,7,4,NC(=O)c1[nH]nc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,2344.0,NC(=O)c1[nH]nc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,5.630042392653947,CHEMBL3393465
Active,475.53000000000014,4.7714000000000025,8,3,CCOC(=O)c1[nH]nc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,706.0,CCOC(=O)c1[nH]nc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,6.151195298948196,CHEMBL3393464
Inactive,403.4670000000001,4.594700000000003,6,3,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1n[nH]cc1N2,10000.0,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1n[nH]cc1N2,5.0,CHEMBL3393463
Active,403.4670000000001,4.594700000000003,6,3,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1cn[nH]c1N2,18.0,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1cn[nH]c1N2,7.7447274948966935,CHEMBL3393462
Active,404.4550000000001,3.0140000000000002,7,4,O=C1CNCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]nc1N2,100.0,O=C1CNCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]nc1N2,7.0,CHEMBL3393461
Active,427.2910000000001,4.492600000000003,5,3,O=C1CNCC2=C1C(c1cccc(Oc3ccc(Cl)c(Cl)c3)c1)c1c[nH]nc1N2,600.0,O=C1CNCC2=C1C(c1cccc(Oc3ccc(Cl)c(Cl)c3)c1)c1c[nH]nc1N2,6.221848749616356,CHEMBL3393460
Intermediate,388.427,3.194400000000001,6,3,COc1ccc(Oc2cccc(C3C4=C(CNCC4=O)Nc4n[nH]cc43)c2)cc1,6288.0,COc1ccc(Oc2cccc(C3C4=C(CNCC4=O)Nc4n[nH]cc43)c2)cc1,5.201487466968649,CHEMBL3393459
Intermediate,392.84600000000006,3.8392000000000017,5,3,O=C1CNCC2=C1C(c1cccc(Oc3ccc(Cl)cc3)c1)c1c[nH]nc1N2,2739.0,O=C1CNCC2=C1C(c1cccc(Oc3ccc(Cl)cc3)c1)c1c[nH]nc1N2,5.562407967746038,CHEMBL3393458
Intermediate,358.40100000000007,3.1858000000000013,5,3,O=C1CNCC2=C1C(c1cccc(Oc3ccccc3)c1)c1c[nH]nc1N2,5082.0,O=C1CNCC2=C1C(c1cccc(Oc3ccccc3)c1)c1c[nH]nc1N2,5.293965339285649,CHEMBL3393457
Active,427.2910000000001,4.492600000000002,5,3,O=C1CNCC2=C1C(c1cccc(Oc3cc(Cl)cc(Cl)c3)c1)c1c[nH]nc1N2,300.0,O=C1CNCC2=C1C(c1cccc(Oc3cc(Cl)cc(Cl)c3)c1)c1c[nH]nc1N2,6.522878745280337,CHEMBL3393456
Intermediate,284.29400000000004,1.5326,4,3,O=C1CNCC2=C1C(c1ccccc1F)c1c[nH]nc1N2,9800.0,O=C1CNCC2=C1C(c1ccccc1F)c1c[nH]nc1N2,5.008773924307505,CHEMBL3393455
Active,534.6600000000003,5.728500000000006,5,2,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5C[C@@H](C)O[C@@H](C)C5)cc4)n[nH]c3c1)C(=O)N2,140.0,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5C[C@@H](C)O[C@@H](C)C5)cc4)n[nH]c3c1)C(=O)N2,6.853871964321762,CHEMBL3408947
Intermediate,493.6110000000003,4.998100000000005,5,3,O=C(N[C@@H](c1ccccn1)C1CC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@H]4CC(O)C5)cc3)c2c1,1300.0,O=C(N[C@@H](c1ccccn1)C1CC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@H]4CC(O)C5)cc3)c2c1,5.886056647693163,CHEMBL3422092
Active,488.90600000000023,5.737500000000003,6,2,COc1cccc(F)c1C1=NCc2cnc(Nc3ccc(C(=O)O)cc3)nc2-c2ccc(Cl)cc21,18.0,COc1cccc(F)c1C1=NCc2cnc(Nc3ccc(C(=O)O)cc3)nc2-c2ccc(Cl)cc21,7.7447274948966935,CHEMBL3586473
Active,458.88000000000017,5.728900000000004,5,2,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2ccccc2F)=NC3)cc1,170.0,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2ccccc2F)=NC3)cc1,6.769551078621726,CHEMBL3586468
Intermediate,338.7730000000001,3.8693000000000017,4,1,Nc1ncc2c(n1)-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,6000.0,Nc1ncc2c(n1)-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,5.221848749616356,CHEMBL41816
Active,427.8960000000002,3.453100000000002,8,3,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,43.0,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,7.366531544420414,CHEMBL3601115
Active,430.4830000000002,3.6137000000000015,3,2,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccccc4F)c23)CC1,444.0,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccccc4F)c23)CC1,6.35261702988538,CHEMBL3621496
Intermediate,483.57200000000034,3.7414200000000024,4,3,CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c23)c1C,2000.0,CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c23)c1C,5.698970004336019,CHEMBL3621515
Active,592.6750000000001,4.932000000000004,5,3,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4cccc(NC(=O)c5ccc(N(C)C)cc5)c4F)c23)CC1,493.0,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4cccc(NC(=O)c5ccc(N(C)C)cc5)c4F)c23)CC1,6.30715308072277,CHEMBL3622193
