molecule_chembl_id,canonical_smiles,standard_value,SMILES_desalt,STATUS
CHEMBL1173151,Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,640.0,Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,Active
CHEMBL1173152,C[C@@H](CO)Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,792.0,C[C@@H](CO)Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,Active
CHEMBL1172831,OCCOCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,760.0,OCCOCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,Active
CHEMBL1172832,c1ccc(-c2oc3ncnc(NCCc4ccccn4)c3c2-c2ccccc2)cc1,535.0,c1ccc(-c2oc3ncnc(NCCc4ccccn4)c3c2-c2ccccc2)cc1,Active
CHEMBL1173544,COC1C=CC(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)(OC)O1,827.0,COC1C=CC(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)(OC)O1,Active
CHEMBL1173545,CC1CN(c2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)CC(C)N1,334.0,CC1CN(c2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)CC(C)N1,Active
CHEMBL1173116,Oc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,640.0,Oc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,Active
CHEMBL1172716,C[C@@H](O)CNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,973.0,C[C@@H](O)CNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,Active
CHEMBL1172780,Nc1ccc(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,945.0,Nc1ccc(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,Active
CHEMBL1173731,O=C(Nc1ccccc1)Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,43.0,O=C(Nc1ccccc1)Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,Active
CHEMBL1173801,O=C(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1)c1ccccc1,304.0,O=C(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1)c1ccccc1,Active
CHEMBL1173465,O=S(=O)(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1)c1ccccc1,5831.0,O=S(=O)(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1)c1ccccc1,Intermediate
CHEMBL1173178,O=C(CCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)Nc1ccccc1,10000.0,O=C(CCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)Nc1ccccc1,Inactive
